id,Coder.ID,Information_category,Attribution,Att_D_pol,Att_D_gov,Att_f_pol_gov,Att_mainme,Att_altme,Att_ind,Att_other,Att_no,Sentiment,Authority_ref,Incivility,Emotional,Fearmongering,Topics,Conspiracy,Gov_pol_org,Health_serv,Media,Other_nongov,Ind_com,Other,No,Scient,Misinfo_bin,label_mis
1309194676851835e3,3,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Negativity,The Tweet does not contain an authority reference,No,No,No,Spread and detection,No,"Government, politicians and international organizations",NA,NA,NA,NA,NA,NA,NA,Misinformation,1
1240267712309481500,2,Accurate information,Yes,NA,NA,NA,NA,An alternative media outlet or journalist working in alternative media,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"News, information and misinformation",No,NA,NA,Media,NA,NA,NA,NA,NA,Other,0
1336573549600006100,1,Accurate information,Yes,NA,NA,NA,NA,NA,NA,NA,Misinformation is not attributed to an actor,Neutrality,The Tweet does not contain an authority reference,No,Yes,Yes,"News, information and misinformation",No,"Government, politicians and international organizations",NA,NA,NA,NA,NA,NA,NA,Other,0
1369350546679865300,1,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,Yes,Existence of covid,Yes,"Government, politicians and international organizations",Health services,Media,Other major non-governmental actors,NA,NA,NA,NA,Misinformation,1
1376976464491516e3,1,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet contains a non-specific authority reference,No,No,No,"Remedies for cure, treatment and prevention",No,NA,NA,NA,NA,NA,NA,NA,University or scientific organization,Other,0
1280066586452414500,4,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,NA,NA,NA,NA,University or scientific organization,Other,0
1244934973636915200,2,Misinformation,Yes,NA,NA,NA,NA,NA,NA,NA,Misinformation is not attributed to an actor,Neutrality,The Tweet does not contain an authority reference,No,No,No,"News, information and misinformation",No,NA,NA,Media,NA,NA,NA,NA,NA,Misinformation,1
1338029911433425e3,2,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Positivity,The Tweet does not contain an authority reference,No,No,No,"Remedies for cure, treatment and prevention",No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1240264362440511500,1,Other,Yes,NA,NA,NA,NA,NA,"An opinion leader or individual who is not a journalist, and not a part of a government, parliament, or a political party",NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"News, information and misinformation",No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1314596887006249e3,4,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1.2968639976067359e+18,4,Suggestive misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,NA,NA,NA,None,NA,Misinformation,1
1359899912142545e3,2,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,Existence of covid,Yes,"Government, politicians and international organizations",NA,NA,NA,NA,NA,NA,NA,Misinformation,1
1390952938621837300,4,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1314974733281251300,1,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1264293076199256e3,4,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Negativity,The Tweet does not contain an authority reference,No,No,No,"Remedies for cure, treatment and prevention",No,"Government, politicians and international organizations",NA,NA,NA,Individuals or communities,NA,NA,NA,Misinformation,1
1410131250095e6,4,Unable to classify,No,NA,NA,NA,NA,NA,NA,NA,NA,Negativity,The Tweet does not contain an authority reference,No,No,No,"News, information and misinformation",No,"Government, politicians and international organizations",NA,NA,NA,NA,NA,NA,NA,Other,0
1.2396216410528481e+18,4,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Remedies for cure, treatment and prevention",No,NA,NA,NA,Other major non-governmental actors,NA,NA,NA,NA,Other,0
1242929840845701e3,2,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,Spread and detection,No,NA,NA,NA,NA,NA,NA,NA,University or scientific organization,Other,0
1354384946509607e3,1,Uncheckable claim,Yes,NA,NA,NA,NA,NA,NA,NA,Misinformation is not attributed to an actor,Neutrality,The Tweet does not contain an authority reference,No,No,Yes,"News, information and misinformation",No,NA,Health services,NA,NA,NA,NA,NA,NA,Other,0
1473975713162305500,3,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Negativity,The Tweet does not contain an authority reference,No,No,No,Severity of covid,No,NA,NA,NA,NA,Individuals or communities,NA,NA,NA,Misinformation,1
1342015238447779800,1,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Negativity,The Tweet contains a non-specific authority reference,No,No,Yes,Existence of covid,Yes,NA,NA,NA,NA,Individuals or communities,NA,NA,NA,Misinformation,1
1340940878853136400,3,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Positivity,The Tweet does not contain an authority reference,No,No,No,Other,No,NA,NA,NA,Other major non-governmental actors,NA,NA,NA,NA,Other,0
1339926693662892e3,2,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,Health services,NA,Other major non-governmental actors,NA,NA,NA,NA,Other,0
1363553649499246600,2,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,"Government, politicians and international organizations",NA,NA,NA,NA,NA,NA,NA,Misinformation,1
1347569888378802200,2,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,Severity of covid,No,NA,NA,NA,NA,Individuals or communities,NA,NA,NA,Other,0
1342379031967244300,2,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,Yes,Vaccination,Yes,"Government, politicians and international organizations",NA,NA,NA,NA,NA,NA,NA,Misinformation,1
1241407375225077800,1,Accurate information,Yes,NA,NA,NA,NA,NA,NA,NA,Misinformation is not attributed to an actor,Neutrality,The Tweet does not contain an authority reference,No,No,No,"News, information and misinformation",No,NA,NA,NA,Other major non-governmental actors,Individuals or communities,NA,NA,NA,Other,0
1297085515100029e3,3,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Negativity,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,"Government, politicians and international organizations",NA,NA,NA,NA,NA,NA,NA,Other,0
1349069905052586e3,1,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1267374288803377200,1,Uncheckable claim,No,NA,NA,NA,NA,NA,NA,NA,NA,Negativity,The Tweet does not contain an authority reference,No,Yes,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,NA,Individuals or communities,NA,NA,NA,Other,0
1414164095406858200,4,Suggestive misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,Severity of covid,No,NA,NA,NA,NA,Individuals or communities,NA,NA,NA,Misinformation,1
1314986034963374e3,3,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1267678767037788200,2,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Remedies for cure, treatment and prevention",No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1327210937443635200,3,Uncheckable claim,No,NA,NA,NA,NA,NA,NA,NA,NA,Negativity,The Tweet does not contain an authority reference,No,No,No,Spread and detection,No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1415586299776585700,1,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,Spread and detection,No,NA,NA,NA,Other major non-governmental actors,NA,NA,NA,NA,Other,0
1449350062098854e3,4,Misinformation,Yes,NA,NA,NA,A mainstream media outlet or journalist working in the mainstream media,NA,NA,NA,NA,Negativity,The Tweet does not contain an authority reference,Yes,No,No,"News, information and misinformation",No,NA,NA,Media,NA,Individuals or communities,NA,NA,NA,Misinformation,1
1345146676303036400,1,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet contains a non-specific authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,NA,NA,NA,None,NA,Misinformation,1
1273840192055623700,2,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Negativity,The Tweet does not contain an authority reference,No,No,No,Severity of covid,No,NA,Health services,NA,Other major non-governmental actors,Individuals or communities,NA,NA,NA,Misinformation,1
1477611455709159400,1,Accurate information,Yes,NA,NA,NA,NA,NA,NA,NA,Misinformation is not attributed to an actor,Negativity,The Tweet does not contain an authority reference,No,No,Yes,"News, information and misinformation",No,NA,Health services,NA,NA,Individuals or communities,NA,NA,NA,Other,0
1240299819324903400,3,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,Other major non-governmental actors,NA,NA,NA,NA,Other,0
1315019723311140900,2,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1385736792700342300,2,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,Other,No,NA,NA,NA,Other major non-governmental actors,NA,NA,NA,NA,Other,0
1252603712817823700,2,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet contains a non-specific authority reference,No,No,No,Symptoms or characteristics of covid,No,NA,NA,NA,NA,Individuals or communities,NA,NA,NA,Other,0
1303942881019822e3,1,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Mixed,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,"Government, politicians and international organizations",NA,Media,NA,NA,NA,NA,NA,Misinformation,1
1322240805638209500,4,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Remedies for cure, treatment and prevention",No,NA,NA,NA,NA,NA,NA,NA,University or scientific organization,Other,0
1314862127107244e3,3,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1479198693152759800,2,Accurate information,Yes,NA,NA,NA,NA,NA,NA,NA,Misinformation is not attributed to an actor,Neutrality,The Tweet does not contain an authority reference,No,No,No,"News, information and misinformation",No,NA,NA,Media,NA,NA,NA,NA,NA,Other,0
1368051124666794e3,1,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,Yes,Existence of covid,Yes,NA,NA,NA,NA,NA,NA,None,NA,Misinformation,1
1296856308210163700,2,Accurate information,Yes,NA,NA,NA,NA,NA,"An opinion leader or individual who is not a journalist, and not a part of a government, parliament, or a political party",NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"News, information and misinformation",No,NA,NA,NA,NA,Individuals or communities,NA,NA,NA,Other,0
1427885989620600800,1,Misinformation,Yes,NA,"The Dutch government, cabinet, a member of the Dutch cabinet or civil servant",NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"News, information and misinformation",No,"Government, politicians and international organizations",Health services,NA,NA,NA,NA,NA,NA,Misinformation,1
1317063727041138700,3,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Negativity,The Tweet does not contain an authority reference,No,No,Yes,"Policies, prevention & societal and economic impact",No,NA,Health services,NA,NA,NA,NA,NA,NA,Misinformation,1
1259143521220640800,3,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",Yes,NA,NA,NA,Other major non-governmental actors,NA,NA,NA,NA,Misinformation,1
1266904982596604e3,4,Misinformation,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,Symptoms or characteristics of covid,No,NA,NA,NA,NA,NA,NA,None,NA,Misinformation,1
1246034095836184600,1,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1239880177208963e3,1,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Remedies for cure, treatment and prevention",No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1336622620326948900,1,Suggestive misinformation,Yes,NA,NA,NA,NA,NA,NA,NA,Misinformation is not attributed to an actor,Neutrality,The Tweet does not contain an authority reference,No,No,Yes,Existence of covid,Yes,"Government, politicians and international organizations",NA,NA,NA,NA,NA,NA,NA,Misinformation,1
1239898993452253200,3,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Negativity,The Tweet does not contain an authority reference,Yes,No,No,Other,No,NA,NA,NA,NA,Individuals or communities,NA,NA,NA,Other,0
1458114955358707700,1,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,Yes,No,No,"Policies, prevention & societal and economic impact",No,"Government, politicians and international organizations",NA,NA,NA,NA,NA,NA,NA,Other,0
1442866326473613300,1,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Negativity,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,"Government, politicians and international organizations",NA,NA,NA,NA,NA,NA,NA,Other,0
1420642373130915800,3,Misinformation,Yes,NA,NA,NA,NA,NA,NA,NA,Misinformation is not attributed to an actor,Neutrality,The Tweet does not contain an authority reference,No,No,No,"News, information and misinformation",No,NA,NA,NA,NA,NA,NA,None,NA,Misinformation,1
1303371373037981700,1,Accurate information,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,"Policies, prevention & societal and economic impact",No,"Government, politicians and international organizations",NA,NA,Other major non-governmental actors,NA,NA,NA,NA,Other,0
1240761178449682400,2,Other,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,Existence of covid,No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
1468118156946387e3,1,Uncheckable claim,No,NA,NA,NA,NA,NA,NA,NA,NA,Neutrality,The Tweet does not contain an authority reference,No,No,No,Vaccination,No,NA,NA,NA,NA,NA,NA,None,NA,Other,0
